,ref_number,precision,recall,f1
0,8,0.42678432662601884,0.5354068791274812,0.4749643584622404
1,12,0.6470619406063036,0.6679663967906154,0.6573480139944373
2,16,0.5320543796611583,0.5770664340594092,0.5536470324938093
3,21,0.43537748376945645,0.5220431978979696,0.4747878508827313
4,26,0.35435704921432354,0.46598684499300036,0.40257683279027384
5,27,0.46298481251783136,0.4766472362102523,0.46971669728095444
6,30,0.5262969269859502,0.45133925629076377,0.48594450098563785
7,46,0.40286030531907635,0.5095003967489627,0.4499481069915057
8,56,0.34903250594001245,0.38963701874512385,0.3682187514574276
9,58,0.5230348833516894,0.6425745164238478,0.5766749775820896
