,ref_number,precision,recall,f1
0,12,0.29739154638355403,1.0,0.4584453278002703
1,16,0.2779126785798482,1.0,0.4349478383588684
2,21,0.23851445385502407,1.0,0.3851621644182179
3,26,0.16544068529215294,1.0,0.2839109486737718
4,27,0.23968905553041567,1.0,0.38669221844160245
5,30,0.20151065340073493,1.0,0.33542882508845456
6,46,0.2651720020031588,1.0,0.41918727506348463
7,56,0.18224565831380327,1.0,0.30830421246584916
8,58,0.2742102451078608,1.0,0.4304003144860119
9,8,0.2845810197470039,1.0,0.44307212292931386
